,city_cn,province_cn,city,province,lat,lon,case,death,cure,remain
315,松原,中国吉林,Songyuan,Jilin China,45.29271,124.867571,2,0,2,0
316,四平,中国吉林,Siping,Jilin China,43.178,124.37,15,1,14,0
317,公主岭,中国吉林,Gongzhuling,Jilin China,43.49,124.8,6,0,6,0
318,通化,中国吉林,Tonghua,Jilin China,41.74,125.92,6,0,5,1
319,延边,中国吉林,Yanbian,Jilin China,42.89,129.51,5,0,5,0
320,辽源,中国吉林,Liaoyuan,Jilin China,42.895188,125.148648,7,0,7,0
321,梅河口,中国吉林,Meihekou,Jilin China,42.537275,125.691833,1,0,1,0
322,白城,中国吉林,Baicheng,Jilin China,45.614037,122.84704,1,0,1,0
323,兰州,中国甘肃,Lanzhou,Gansu China,36.0637,103.831,36,2,34,0
324,白银,中国甘肃,Baiyin,Gansu China,36.69035,104.945609,4,0,4,0
325,临夏,中国甘肃,Linxia,Gansu China,35.518719,103.050791,3,0,3,0
326,定西,中国甘肃,Dingxi,Gansu China,35.58,104.62,9,0,9,0
327,张掖,中国甘肃,Zhangye,Gansu China,38.93,100.46,2,0,2,0
328,陇南,中国甘肃,Longnan,Gansu China,33.39,104.91,4,0,4,0
329,金昌,中国甘肃,Jinchang,Gansu China,38.52,102.18,1,0,1,0
