city,province_cn,city_cn,case,death,cure,lat,lon,province
Chengde,河北,承德,7,0,0,40.973242,118.125718,Hebei
Langfang,河北,廊坊,22,0,4,39.47,116.7,Hebei
Xingtai,河北,邢台,21,1,4,37.04,114.57,Hebei
Hengshui,河北,衡水,8,0,0,37.73,115.699,Hebei
Tangshan,河北,唐山,27,0,2,39.59,118.2,Hebei
Handan,河北,邯郸,27,0,2,36.574,114.48,Hebei
Zhangjiakou,河北,张家口,14,0,1,40.81,114.89,Hebei
Qinhuangdao,河北,秦皇岛,7,0,0,39.95,119.59,Hebei
Xilingol - Xilinhot,内蒙古,锡林郭勒-锡林浩特,2,0,1,43.468238,114.415868,Inner Mongolia
Erenhot,内蒙古,二连浩特,1,0,0,43.63,112,Inner Mongolia
Ordos,内蒙古,鄂尔多斯,11,0,2,39.805586,109.764419,Inner Mongolia
Manzhouli,内蒙古,满洲里,1,0,0,49.500032,117.603687,Inner Mongolia
Chifeng,内蒙古,赤峰,4,0,1,42.268753,118.757106,Inner Mongolia
Hulun Buir,内蒙古,呼伦贝尔,5,0,1,49.22,119.76,Inner Mongolia
Yakeshi,内蒙古,牙克石,1,0,0,49.329996,121.512668,Inner Mongolia
Ulahot,内蒙古,乌兰浩特,2,0,1,46.05,122.1,Inner Mongolia
Ulanqab,内蒙古,乌兰察布,3,0,0,40.99,113.13,Inner Mongolia
Baotou,内蒙古,包头,10,0,0,40.65,109.8,Inner Mongolia
Bayannur,内蒙古,巴彦淖尔,4,0,0,40.75,107.38,Inner Mongolia
Tongliao,内蒙古,通辽,3,0,0,43.626,122.25,Inner Mongolia
Huhhot,内蒙古,呼和浩特,7,0,0,40.83,111.69,Inner Mongolia
Wuhai,内蒙古,乌海,2,0,0,39.639,106.779,Inner Mongolia
Hong Kong,香港,香港,26,1,0,22.293586,114.186124,Hong Kong SAR
Tongren,贵州,铜仁,7,0,2,27.674903,109.168558,Guizhou
Guiyang,贵州,贵阳,22,0,1,26.496945,106.70098,Guizhou
Qiannan,贵州,黔南州,7,0,3,26.254,107.522,Guizhou
Qianxinan,贵州,黔西南州,4,0,0,25.1,104.9,Guizhou
Liupanshui,贵州,六盘水,10,1,0,26.55,104.85,Guizhou
Qiandongnan,贵州,黔东南州,6,0,0,26.56,108,Guizhou
Zunyi,贵州,遵义,15,0,1,27.7478,106.91,Guizhou
Bijie,贵州,毕节,21,0,0,27.31,105.29,Guizhou
Anshun,贵州,安顺,4,0,0,26.25,105.93,Guizhou
Jilin,吉林,吉林市,5,0,2,43.87,126.57,Jilin
Changchun,吉林,长春,37,0,1,43.531747,125.712822,Jilin
Songyuan,吉林,松原,2,0,1,45.29271,124.867571,Jilin
Siping,吉林,四平,12,1,0,43.178,124.37,Jilin
Gongzhuling,吉林,公主岭,6,0,1,43.49,124.8,Jilin
Tonghua,吉林,通化,3,0,0,41.74,125.92,Jilin
Yanbian,吉林,延边,5,0,0,42.89,129.51,Jilin
Liaoyuan,吉林,辽源,6,0,0,42.895188,125.148648,Jilin
Meihekou,吉林,梅河口,1,0,0,42.537275,125.691833,Jilin
Baicheng,吉林,白城,1,0,0,45.614037,122.84704,Jilin
Lanzhou,甘肃,兰州,33,1,5,36.303488,103.060275,Gansu
Baiyin,甘肃,白银,4,0,0,36.69035,104.945609,Gansu
Linxia,甘肃,临夏,3,0,2,35.518719,103.050791,Gansu
Dingxi,甘肃,定西,8,0,1,35.58,104.62,Gansu
Zhangye,甘肃,张掖,2,0,0,38.93,100.46,Gansu
Longnan,甘肃,陇南,4,0,0,33.39,104.91,Gansu
Jinchang,甘肃,金昌,1,0,0,38.52,102.18,Gansu
Tianshui,甘肃,天水,12,0,1,34.58,105.73,Gansu
Pingliang,甘肃,平凉,4,0,0,35.53,106.67,Gansu
Gannan,甘肃,甘南,6,0,0,34.981,102.91,Gansu
Qingyang,甘肃,庆阳,2,0,0,35.7,107.65,Gansu
Yinchuan,宁夏,银川,28,0,5,38.478591,106.24265,Ningxia
Zhongwei,宁夏,中卫,3,0,2,37.360639,105.111278,Ningxia
Guyuan,宁夏,固原,2,0,2,36.206829,106.254011,Ningxia
Wuzhong,宁夏,吴忠,10,0,4,37.97,106.2,Ningxia
Ningdong Energy Chemical Industry Base Admin Committee,宁夏,宁东管委会,1,0,0,38.4,106.31,Ningxia
Shizuishan,宁夏,石嘴山,1,0,0,38.991988,106.37,Ningxia
__,台湾,地区,17,0,1,23.5,121,Taiwan (ROC)
Urumqi,新疆,乌鲁木齐,20,0,0,43.419108,87.360244,Xinjiang
Ili,新疆,伊犁,10,0,0,43.9,81.32,Xinjiang
Turpan,新疆,吐鲁番,1,0,0,42.95,89.15,Xinjiang
Shihezi (The 8th Division),新疆,第八师石河子,1,0,0,44.26,86.05,Xinjiang
Aksu,新疆,阿克苏,1,0,0,41.133,80.192,Xinjiang
Emin (The 9th Division),新疆,第九师额敏县,4,0,0,46.521076,83.620741,Xinjiang
Changji,新疆,昌吉,2,0,0,44,87.275,Xinjiang
Wujiaqu (The 6th Division),新疆,第六师五家渠,1,0,0,44.159797,87.538838,Xinjiang
Huyangh (The 7th Division),新疆,第七师胡杨河,1,0,0,44.710398,84.8254,Xinjiang
Bayingolin,新疆,巴音郭楞,3,0,0,41.771312,86.161609,Xinjiang
The 12th Division,新疆,第十二师,1,0,0,43.6,87,Xinjiang
Macau,澳门,澳门,10,0,1,22.204118,113.557519,Macau SAR
Xining,青海,西宁,15,0,3,36.686368,101.712664,Qinghai
Haibei,青海,海北州,3,0,0,36.899,100.997,Qinghai
Chengdu,四川,成都,120,1,33,30.67,104.06,Sichuan
Mianyang,四川,绵阳,20,0,3,31.46,104.73,Sichuan
Guang An,四川,广安,28,0,3,30.3,106,Sichuan
Suining,四川,遂宁,8,0,2,30.501934,105.569333,Sichuan
Luzhou,四川,泸州,16,0,2,27.88,106.27,Sichuan
Nanchong,四川,南充,32,0,2,30.84,106.12,Sichuan
Ganzi,四川,甘孜,17,0,0,31.62,99.99,Sichuan
Deyang,四川,德阳,16,0,0,31.33,104.23,Sichuan
Ya An,四川,雅安,6,0,1,30,103,Sichuan
Dazhou,四川,达州,25,0,5,31.2,107.5,Sichuan
Zigong,四川,自贡,9,0,2,29.34,104.78,Sichuan
Neijiang,四川,内江,17,0,2,29.6,105,Sichuan
Leshan,四川,乐山,3,0,0,29.2,103.63,Sichuan
Meishan,四川,眉山,7,0,1,29.9,103.5,Sichuan
Yibin,四川,宜宾,9,0,0,28.76,104.63,Sichuan
Liangshan,四川,凉山,9,0,0,27.88,102.28,Sichuan
